decision_date,entry_date,end_date,entry_price,end_price,return,upper_barrier,lower_barrier,barrier_touched,value_at_barrier_touched,label
2012-04-02,2012-04-03,2012-04-03,2.438664,2.533997,0.03909230627917567,2.50704967654814,2.3702783234518607,upper,2.50704967654814,1
2012-04-03,2012-04-04,2012-04-04,2.533997,2.333331,-0.0791895175882213,2.6050560303608683,2.462937969639132,lower,2.462937969639132,-1
2012-04-04,2012-04-05,2012-04-09,2.333331,2.209997,-0.05285748142890993,2.398762900026304,2.2678990999736954,lower,2.2678990999736954,-1
2012-04-05,2012-04-09,2012-04-09,2.298664,2.209997,-0.03857327560704829,2.363123758620644,2.2342042413793566,lower,2.2342042413793566,-1
2012-04-09,2012-04-10,2012-04-10,2.209997,2.163999,-0.02081360291439309,2.2719703345858058,2.1480236654141946,lower,2.1480236654141946,-1
2012-04-10,2012-04-11,2012-04-12,2.163999,2.229331,0.030190402121257988,2.224682446208456,2.1033155537915444,upper,2.224682446208456,1
2012-04-11,2012-04-12,2012-04-12,2.205998,2.229331,0.010577072146030979,2.267859193544434,2.1441368064555664,upper,2.267859193544434,1
2012-04-12,2012-04-13,2012-04-16,2.229331,2.149998,-0.03558601212650795,2.2918465038515934,2.1668154961484074,lower,2.1668154961484074,-1
2012-04-13,2012-04-16,2012-04-16,2.239331,2.149998,-0.03989271795906898,2.3021269265607,2.1765350734393003,lower,2.1765350734393003,-1
2012-04-16,2012-04-17,2012-04-19,2.149998,2.210664,0.028216770434205,2.2102888263734357,2.089707173626565,upper,2.2102888263734357,1
2012-04-17,2012-04-18,2012-04-19,2.149332,2.210664,0.028535377503336,2.2096041502210086,2.089059849778991,upper,2.2096041502210086,1
2012-04-18,2012-04-19,2012-04-20,2.177331,2.210664,0.015309110098556367,2.2383883057642375,2.116273694235763,upper,2.2383883057642375,1
2012-04-19,2012-04-20,2012-04-23,2.210664,2.129331,-0.03679120843330324,2.2726560387805033,2.148671961219497,lower,2.148671961219497,-1
2012-04-20,2012-04-23,2012-04-23,2.210664,2.129331,-0.03679120843330324,2.2726560387805033,2.148671961219497,lower,2.148671961219497,-1
2012-04-23,2012-04-24,2012-04-24,2.129331,2.121332,-0.0037565789442786804,2.1890422767605244,2.069619723239476,lower,2.069619723239476,-1
2012-04-24,2012-04-25,2012-04-25,2.121332,2.193998,0.03425489268063645,2.18081896663551,2.0618450333644907,upper,2.18081896663551,1
2012-04-25,2012-04-26,2012-05-01,2.193998,2.251998,0.02643575791773731,2.255522686293506,2.1324733137064946,upper,2.255522686293506,1
2012-04-26,2012-04-27,2012-05-03,2.232665,2.163999,-0.03075517374975641,2.295273996782809,2.1700560032171907,lower,2.1700560032171907,-1
2012-04-27,2012-04-30,2012-05-02,2.222664,2.262664,0.017996422311244542,2.2849925460314315,2.160335453968569,upper,2.2849925460314315,1
2012-04-30,2012-05-01,2012-05-01,2.208664,2.251998,0.019620005578032583,2.270599954238682,2.1467280457613187,upper,2.270599954238682,1
2012-05-01,2012-05-02,2012-05-03,2.251998,2.163999,-0.039075967207786125,2.3162897686893413,2.1877062313106586,lower,2.1877062313106586,-1
2012-05-02,2012-05-03,2012-05-03,2.262664,2.163999,-0.043605678969568615,2.3233664414584325,2.2019615585415675,lower,2.2019615585415675,-1
2012-05-03,2012-05-04,2012-05-04,2.163999,2.121998,-0.019408973848878838,2.2126896639410427,2.1153083360589573,lower,2.1153083360589573,-1
2012-05-04,2012-05-07,2012-05-07,2.121998,2.164665,0.02010699350329255,2.170047722178749,2.073948277821251,upper,2.170047722178749,1
2012-05-07,2012-05-08,2012-05-08,2.164665,2.012665,-0.07021871744588641,2.2115822815120643,2.1177477184879354,lower,2.1177477184879354,-1
2012-05-08,2012-05-09,2012-05-10,2.012665,2.197332,0.09175247743663237,2.065756633149918,1.9595733668500817,upper,2.065756633149918,1
2012-05-09,2012-05-10,2012-05-10,2.003998,2.197332,0.09647414817779242,2.0557664152171187,1.9522295847828817,upper,2.0557664152171187,1
2012-05-10,2012-05-11,2012-05-14,2.197332,2.003998,-0.0879857936806999,2.272564766606727,2.1220992333932727,lower,2.1220992333932727,-1
2012-05-11,2012-05-14,2012-05-14,2.149998,2.003998,-0.06790703991352545,2.224270029494395,2.075725970505605,lower,2.075725970505605,-1
2012-05-14,2012-05-15,2012-05-16,2.003998,1.945331,-0.029274979316346744,2.0775177935138807,1.9304782064861197,lower,1.9304782064861197,-1
2012-05-15,2012-05-16,2012-05-17,1.961997,1.904665,-0.029221247535036975,2.0343957477658865,1.8895982522341137,lower,1.8895982522341137,-1
